	Li	O_TFSI	Li	Ow	Li	O_OTF
0.05	0	0	0	0	0	0
0.15	0	0	0	0	0	0
0.25	0	0	0	0	0	0
0.35	0	0	0	0	0	0
0.45	0	0	0	0	0	0
0.55	0	0	0	0	0	0
0.65	0	0	0	0	0	0
0.75	0	0	0	0	0	0
0.85	0	0	0	0	0	0
0.95	0	0	0	0	0	0
1.05	0	0	0	0	0	0
1.15	0	0	0	0	0	0
1.25	0	0	0	0	0	0
1.35	0	0	0	0	0	0
1.45	0	0	0	0	0	0
1.55	0	0	0	0	0	0
1.65	0.000598931	1.94E-05	0.000898397	1.94E-05	0	0
1.75	0.001064912	5.83E-05	0.007188155	0.000194341	0.012778941	0.000116604
1.85	0.013426476	0.000621891	0.293234271	0.008648165	0.533568666	0.005888526
1.95	1.075197992	0.05235541	7.3764337	0.245471859	10.08878144	0.127351524
2.05	7.206623275	0.435886971	19.05779606	0.921719527	19.79625931	0.390819341
2.15	9.684244611	1.00285681	13.43641424	1.4461676	11.66216741	0.561508862
2.25	5.696601925	1.368100902	5.169700553	1.667152519	4.026714968	0.62604944
2.35	2.34055466	1.531794154	1.753193745	1.748911692	1.372503229	0.650050529
2.45	1.008613749	1.608442164	0.707485228	1.784767568	0.62035284	0.661827581
2.55	0.506136224	1.650089397	0.34919086	1.803929571	0.415636401	0.670378576
2.65	0.291283133	1.675975591	0.230860483	1.817611163	0.31444511	0.67735541
2.75	0.227189888	1.697722326	0.186649135	1.82950482	0.320172106	0.685012438
2.85	0.1983932	1.718108675	0.178226011	1.841709422	0.28355956	0.692300218
2.95	0.185236383	1.738514459	0.181203286	1.855002332	0.362841553	0.702289335
3.05	0.198952335	1.761932525	0.200441641	1.870724502	0.460149649	0.715834888
3.15	0.234187038	1.791336287	0.22413951	1.889497823	0.57279168	0.733811412
3.25	0.280748448	1.828863495	0.280209212	1.914470616	0.788900423	0.760183458
3.35	0.347153044	1.878167755	0.350240365	1.94764459	0.937550118	0.79349347
3.45	0.443527245	1.944982121	0.440057683	1.991857121	1.168257829	0.83751166
3.55	0.585195062	2.038343439	0.533312403	2.048585199	1.515997366	0.89800995
3.65	0.741190539	2.163362873	0.639559954	2.120510728	1.781963504	0.97318097
3.75	0.900460097	2.323713464	0.739834883	2.208333333	2.104535801	1.066872668
3.85	1.075213351	2.525555815	0.833229998	2.31259717	2.444622179	1.181572606
3.95	1.28218644	2.778898476	0.909839082	2.432447139	2.683690237	1.314151897
4.05	1.417587572	3.07336365	0.938926084	2.562461132	2.947313925	1.467214708
4.15	1.564287816	3.414528918	0.962368391	2.702367071	3.055255466	1.633803638
4.25	1.67135573	3.796797264	0.965648543	2.849599658	3.236626724	1.818874378
4.35	1.712702345	4.20712842	0.957835513	3.002604167	3.022214082	1.999922264
