	Li_OTFSI	Li_Ow
0.03	0	0
0.09	0	0
0.15	0	0
0.21	0	0
0.27	0	0
0.33	0	0
0.39	0	0
0.45	0	0
0.51	0	0
0.57	0	0
0.63	0	0
0.69	0	0
0.75	0	0
0.81	0	0
0.87	0	0
0.93	0	0
0.99	0	0
1.05	0	0
1.11	0	0
1.17	0	0
1.23	0	0
1.29	0	0
1.35	0	0
1.41	0	0
1.47	0	0
1.53	0	0
1.59	0	0
1.65	0	0
1.71	0	0.000317701
1.77	0.000152031	0.207479
1.83	0.0282291	6.11813
1.89	0.489454	26.9478
1.95	2.10189	35.9746
2.01	3.69889	23.169
2.07	3.74264	10.0362
2.13	2.75442	3.66594
2.19	1.71572	1.3149
2.25	1.0084	0.513259
2.31	0.596258	0.232535
2.37	0.371286	0.125633
2.43	0.251436	0.0821083
2.49	0.185302	0.0625927
2.55	0.150868	0.0545661
2.61	0.133359	0.0535308
2.67	0.12594	0.056124
2.73	0.126295	0.0625342
2.79	0.131975	0.0731504
2.85	0.143012	0.0893235
2.91	0.159262	0.109383
2.97	0.17986	0.136271
3.03	0.207198	0.170524
3.09	0.23993	0.212549
3.15	0.279068	0.262958
3.21	0.32721	0.322418
3.27	0.383093	0.389312
3.33	0.447651	0.464847
3.39	0.521799	0.543577
3.45	0.603852	0.625942
3.51	0.697068	0.709506
3.57	0.795876	0.787601
3.63	0.903951	0.860441
3.69	1.01149	0.922246
3.75	1.11909	0.970998
3.81	1.22234	1.00721
3.87	1.31654	1.03386
3.93	1.40126	1.05174
3.99	1.47484	1.06221
4.05	1.53541	1.06821
4.11	1.59267	1.06689
4.17	1.64481	1.05991
4.23	1.69506	1.04725
4.29	1.74485	1.02854
4.35	1.78446	1.00032
4.41	1.79186	0.966129
4.47	1.74636	0.925144
4.53	1.65895	0.881681
4.59	1.56144	0.835876
4.65	1.47404	0.792942
4.71	1.39596	0.751815
4.77	1.32545	0.713611
4.83	1.25587	0.679109
4.89	1.18367	0.646176
4.95	1.11609	0.616968
5.01	1.05167	0.591635
5.07	0.994442	0.569367
5.13	0.944916	0.552234
5.19	0.905215	0.538413
5.25	0.875327	0.528199
5.31	0.853549	0.522388
5.37	0.842529	0.519644
5.43	0.83892	0.519897
5.49	0.843925	0.523257
5.55	0.856143	0.529632
5.61	0.875757	0.538324
5.67	0.900552	0.54885
5.73	0.929547	0.562482
5.79	0.963074	0.576621
5.85	0.998189	0.593708
5.91	1.03507	0.611651
5.97	1.06938	0.630425
6.03	1.10241	0.650694
6.09	1.13161	0.670538
6.15	1.15725	0.689652
6.21	1.17861	0.709525
6.27	1.19628	0.728372
6.33	1.21014	0.745879
6.39	1.22211	0.761334
6.45	1.23047	0.776696
6.51	1.2351	0.790041
6.57	1.23284	0.802509
6.63	1.22305	0.812267
6.69	1.20581	0.821799
6.75	1.18209	0.829652
6.81	1.15679	0.837261
6.87	1.13275	0.843282
6.93	1.10801	0.848453
6.99	1.08304	0.852523
7.05	1.05679	0.856012
7.11	1.03056	0.85784
7.17	1.00663	0.859033
7.23	0.984452	0.859138
7.29	0.965248	0.859358
7.35	0.947967	0.858788
7.41	0.933616	0.859365
7.47	0.921236	0.860354
7.53	0.910997	0.862495
7.59	0.903024	0.866599
7.65	0.896929	0.872669
7.71	0.892388	0.879914
7.77	0.890513	0.889453
7.83	0.88841	0.900881
7.89	0.888479	0.913257
7.95	0.889977	0.927716
8.01	0.893206	0.943556
8.07	0.896853	0.959651
8.13	0.901716	0.977554
8.19	0.906354	0.995526
8.25	0.911181	1.01427
8.31	0.916579	1.03218
8.37	0.921664	1.05138
8.43	0.926458	1.06876
8.49	0.931423	1.08675
8.55	0.934822	1.1027
8.61	0.93886	1.11818
8.67	0.941072	1.1334
8.73	0.944274	1.14631
8.79	0.946443	1.15832
8.85	0.947962	1.16777
8.91	0.949044	1.17621
8.97	0.950279	1.1831
9.03	0.95073	1.18819
9.09	0.951414	1.19189
9.15	0.951401	1.19336
9.21	0.950922	1.1938
9.27	0.950564	1.19402
9.33	0.949785	1.19124
9.39	0.948488	1.18759
9.45	0.947687	1.18374
9.51	0.946883	1.1785
9.57	0.94564	1.1721
9.63	0.944805	1.1652
9.69	0.943945	1.15717
9.75	0.943625	1.14937
9.81	0.943215	1.14083
9.87	0.944174	1.13192
9.93	0.94418	1.12367
9.99	0.944668	1.11457
10.05	0.946099	1.10608
10.11	0.947449	1.09784
10.17	0.94953	1.09089
10.23	0.951601	1.08354
10.29	0.953876	1.07738
10.35	0.956424	1.07131
10.41	0.959557	1.06679
10.47	0.962705	1.06198
10.53	0.965898	1.05764
10.59	0.969525	1.05478
10.65	0.973536	1.05238
10.71	0.976834	1.04984
10.77	0.981305	1.04823
10.83	0.985535	1.04669
10.89	0.989656	1.04548
10.95	0.993835	1.04403
11.01	0.998563	1.04334
11.07	1.0024	1.043
11.13	1.007	1.04151
11.19	1.01125	1.04056
11.25	1.01504	1.03982
11.31	1.01838	1.03819
11.37	1.0219	1.03679
11.43	1.02596	1.03433
11.49	1.0286	1.03216
11.55	1.03159	1.03002
11.61	1.03417	1.02681
11.67	1.03602	1.02381
11.73	1.03821	1.02058
11.79	1.03985	1.01696
11.85	1.04098	1.01302
11.91	1.04199	1.0089
11.97	1.04276	1.00498
